name	id	id_country
AMAZONAS	1	42
ANTIOQUIA	2	42
ARAUCA	3	42
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y 	4	42
ATLANTICO	5	42
BOGOTÁ, D. C.	6	42
Bolivar	7	42
BOYACA	8	42
CALDAS	9	42
CAQUETA	10	42
CASANARE	11	42
CAUCA	12	42
CESAR	13	42
CHOCÓ	14	42
CORDOBA	15	42
CUNDINAMARCA	16	42
GUAINÍA	17	42
GUAVIARE	18	42
HUILA	19	42
LA GUAJIRA	20	42
MAGDALENA	21	42
META	22	42
NARIÑO	23	42
NORTE DE 28	24	42
PUTUMAYO	25	42
QUINDÍO	26	42
RISARALDA	27	42
SANTANDER	28	42
SUCRE	29	42
TOLIMA	30	42
VALLE DEL CAUCA	31	42
VAUPÉS	32	42
VICHADA	33	42
ORDEN NACIONAL	34	42
