Etapa	Requisito	Criterio	Evidencia	Sustento legal o técnico	Ayuda	Nivel	Perfil	Area Tematica	Preguntas
Preparación para publicar	La entidad identifica y prioriza el conjunto de datos para su publicación.	Información recurrente y pertinente orientada a identificar el valor generado para sus usuarios. En ese sentido, el valor público puede ser identificado en los siguientes ámbitos:  • Financiero: Impacto actual o futuro de ingresos, valor de activos, pasivos o cualquier otro aspecto relacionado con la riqueza y el riesgo. • Político: Impacto en una persona o un grupo de influencia o partidos políticos como producto de la acción del gobierno o su política. • Social: Impacto en las relaciones con la comunidad o familias, en la movilidad social, estatus o identidad. • Estratégico: Impacto en personas o grupos económicos relevantes en sus objetivos y recursos para la innovación o el planeamiento. • Ideológico: Impacto en las creencias, en la moral o en los compromisos éticos en la sociedad. • Legitimidad y Respeto: Impacto a nivel de la confianza, integridad y legitimidad de entidades públicas y privadas.  	Cifras, informes u otra información relevante, en donde se demuestre que el conjunto de datos publicado sea de alto impacto por considerarse de alto interés para el usuario o que su publicación haya sido producto de solicitudes recurrentes. Ejemplo: número de PQRS recibidas.	Ley 1712 de 2014, artículo 11, numeral k. Información mínima obligatoria respecto a servicios, procedimientos y funcionamiento del sujeto obligado. Decreto 103 de 2015, artículo 11. Publicación de datos abiertos. Guía para la apertura de datos abiertos en Colombia, pág 18 http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf  		1	Experto 	Estrategia Digital 	¿Qué tan útil es la información del conjunto de datos?
Preparación para publicar	El conjunto de datos cumple con los principios de legalidad para su publicación.	La Información del conjunto de datos no es de carácter clasificada ni reservada.	La entidad deberá soportar que en el registro de activos de información, la información del conjunto de datos se encuentra relacionada como de caracter público.	Ley 1712 de 2014, artículos 13, 18 y 19. Decreto 103 de 2015, art. 38  Decreto 1081 de 2015, art. 2.1.1.5.1.1 Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf 	Se entiende como información clasificada aquella información pública cuyo acceso libre puede causar daño de derechos a personas naturales o jurídicas.  Se entiende como información reservada la información pública cuyo acceso libre puede causar daño a los intereses públicos.	2	Experto 	Gobernanza TI	
Preparación para publicar	El conjunto de datos está completo y disponible en lotes.	El conjunto de datos no contiene espacios sin diligenciar y contiene la información de manera detallada.	Verificar que el conjunto de datos no contenga espacios sin diligenciar y la información se encuentre consolidada en un solo conjunto de datos agrupando todas las vigencias.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf NTC 4611 	 	1	Usuario	Conocimiento y uso 	
Preparación para publicar	El conjunto de datos está actualizado.	El conjunto de datos debe estar actualizado teniendo en cuenta que el tipo de información del conjunto de datos sea consecuente con la periodicidad definida por la entidad. 	Verificar que la frecuencia de actualización señalada en la metadata debe responder al contenido de la información del conjunto de datos. En el caso de presentarsen conjuntos de datos de años anteriores, se debe evidenciar que la infomación esté al día según la frecuencia de actualización definida.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf NTC 4611 		1	Usuario	Conocimiento y uso 	
Preparación para publicar	El conjunto de datos se encuentra documentado a través de metadatos.	La metadata del conjunto de datos debe contener como mínimo los siguientes atributos: Título de Conjunto de Datos Breve Descripción Tipo de Licencia Nombre de la Entidad Autor Departamento Municipio Orden Sector Idioma Frecuencia de Actualización Fecha Emisión	Verificar que la metadata del conjunto de datos cumpla con los atributos mínimos mencionados en el criterio de evaluación.	NTC 4611	Los metadatos son datos que describen los aspectos básicos de un conjunto de datos y son una herramienta fundamental para organizar, clasificar, relacionar y encontrar los datos necesarios. La cantidad y calidad de metadatos asociados a un conjunto de datos, permite una mejor clasificación y una mejor búsqueda y recuperación de los datos.  La metadata del conjunto de datos publicada en www.datos.gov.co lo encuentra en el conjunto de datos con el nombre "acerca de".	1	Experto 	Talento Digital	
Preparación para publicar	La entidad analiza e identifica la vinculación de sus datos con otro(s) conjunto(s) de datos.	Análisis e identificación de vinculación del conjuntos de datos con otros.	Documento u otra información donde demuestre que se anallizó e identificó la necesidad de conectar su conjunto de datos con el de otra fuente de información.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		2	Experto 	Estrategia Digital 	
Preparación para publicar	El conjunto de datos geográfico cumple con los criterios de calidad de la información de acuerdo a los estándares nacionales e internacionales.	El conjunto de datos contiene columnas de georeferenciación (latitud y longitud) que permiten generar un mapa a partir de la informacion publicada.	Verificar que el conjunto de datos cumple con las características definidas para la calidad de la información geográfica:  Nivel de veracidad de los elementos (capturados) Grado de certidumbre  Cercanía en posición de los objetos  Grado de realidad en la escala del tiempo Grado de fidelidad de los valores de los atributos.  En caso tal de que el conjunto de datos geográfico se encuentre publicado en el portal de datos abiertos del Estado Colombiano, se da por sentado el cumplimiento de las características en mención.	NTC 5043 NTC 5660 Estándares OGC (Open GeoSPatial Consortium)  RESOLUCIÓN 068 de 2005 Por la cual se adopta como único datum oficial de Colombia el Marco Geocéntrico Nacional de Referencia: MAGNA-SIRGAS. Lineamientos, normas y guías establecidas por la Infraestructura Colombiana de Datos Espaciales-ICDE	Las siguientes son las características de calidad de un conjunto de datos geográfico:  1. Nivel de veracidad de los elementos (capturados), sus atributos y sus relaciones respecto a la especificación técnica del producto. 2. Grado de certidumbre con el cual el conjunto de datos cumple con las especificaciones del producto, en lo que respecta a la estructura interna de los datos, reglas topológicas, atributos y relaciones. 3. Cercanía en posición de los objetos en el conjunto de datos, con respecto a su posición verdadera (o la asumida como verdadera).  4. Grado de realidad en la escala del tiempo, de los elementos existentes en la base de datos y sus relaciones temporales con respecto a las especificaciones del producto. 5. Grado de fidelidad de los valores de los atributos asignados a los elementos en la base de datos con respecto a su verdadera característica en el mundo real y la clasificación correcta de los objetos y sus relaciones de acuerdo con las especificaciones de producto.  En caso tal de que el conjunto de datos geográfico se encuentre publicado en el portal de datos abiertos del Estado Colombiano, se da por sentado el cumplimiento de las características en mención.  El conjunto de datos geográfico debe adoptar el Marco Geocéntrico Nacional de Referencia: MAGNA-SIRGAS según lo establecido por el Instituto Geográfico Agustín Codazzi. En el siguiente enlace web podrá encontrar toda la documentación relacionada http://www2.igac.gov.co:8080/igac_web/UserFiles/File/MAGNAWEB_final/DocumentosMAGNA.htm  Los lineamientos, normas y guías establecidas por la ICDE las podrá encontrar en http://www.icde.org.co/ 	2	Experto 	Talento Digital	
Acceso y uso del conjunto de datos	El conjunto de datos se encuentra publicado en el portal de datos abiertos del Estado Colombiano o la herramienta que haga sus veces. En caso de estar publicado en portales o sistema de información propios de la entidad, deberá garantizar que los datos estén debidamente enlazados o federados al portal de datos abiertos del Estado Colombiano.	Conjunto de datos publicado en el portal de datos abiertos del Estado Colombiano, conjunto de datos externo enlazado al portal de datos abiertos del Estado Colombiano o portal de datos propio de la entidad federado al portal de datos abiertos del Estado Colombiano.	Verificar que el conjunto de datos se encuentre publicado en el portal de datos abiertos del Estado Colombiano en www.datos.gov.co En caso de que el conjunto de datos esté publicado en portales o sistemas de información propios de la entidad, este deberá enlazarse o federarse al portal de datos abiertos del Estado Colombiano y deberá garantizar de igual manera el cumplimiento de todos los requisitos establecidos para el Sello.	Ley 1712 de 2014, artículo 11, numeral j Decreto 103 de 2015, artículo 11 Marco de referencia TI. Apertura de datos - LI.SIS.08 Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf	Base de datos Federados: Son vistas unificadas de bases de datos independientes que aparentan ser una sola base de datos, pero son una colección de sistemas de bases de datos independientes, cooperativos, heterogéneos, que son autónomos y que permiten compartir todos o algunos de sus datos. Una BDF aparenta ser una BD normal y corriente, pero no tiene existencia física, es una vista lógica.   Actualmente el portal de datos abiertos del Estado Colombiano permite embeber portales de datos externos o de otras entidades, con el fin de unificar, agregar o consolidar el conjunto de datos. Se deben verificar las condiciones técnicas para la federación del conjunto de datos a través de un acompañamiento que brinda el MinTIC.	1	Experto 	Talento Digital	¿Qué tan fácil fue encontrar y acceder al conjunto de datos?  
Acceso y uso del conjunto de datos	La entidad realiza divulgación y promoción del conjunto de datos publicado para impulsar su uso.	La entidad plantea y desarrolla una estrategia de comunicación para promover el conocimiento y uso del conjunto de datos publicado.	Documento de la estrategia de comunicación en donde se visualice cómo se va a realizar la divulgación y promoción de los datos. Así mismo, se debe adjuntar la documentación que permite evidenciar el desarrollo de la estrategia.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		2	Experto 	Comunicacion Digtal	¿Qué tan actualizada es la información del conjunto de datos?  
Acceso y uso del conjunto de datos	El conjunto de datos está disponible para cualquier usuario de forma libre y sin restricciones.	El conjunto de datos se encuentra asociado a una licencia abierta. 	Verificar que el conjunto de datos este relacionado a una licencia abierta que permita el uso, transformación, distribución, redistribución, reutilización, compilación, extracción, copia, difusión, modificación y/o adaptación de los datos y de la información publicada.  Verificar que la licencia esté publicada en el portal o en el sistema de información que la entidad disponga para la publicación de sus datos. Se recomienda publicar licencias creative commons attribution 4.0	Ley 1712 de 2014 art. 6  Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf Anexo 1. Uso de licencias abiertas	Puede ver los tipos de licencia abierta creative commons en el portal de Open Definition: http://opendefinition.org/licenses/ 	1	Experto 	Gobernanza TI	A través del conjunto de datos, ¿logró obtener toda la información requerida?
