Etapa	Requisito	Criterio	Evidencia	Sustento legal o técnico	Ayuda	Nivel	Perfil	Area Tematica	Preguntas
Preparación de la entidad	1. La Entidad cumple con las obligaciones y requisitos legales exigidos por el Estado Colombiano para el trámite o servicio en linea.	El trámite o servicio en línea (procedimiento administrativo) está publicado y actualizado en la última versión del SUIT o el sistema que haga sus veces.	Link habilitado del trámite o procedimiento administrativo (servicio) registrado en el Sistema Único de Información de Trámites-SUIT.	 Art. 40 Decreto 019 de 2012		1	Experto	Gobernanza Digital	¿Qué tan fácil pudo encontrar e ingresar al trámite o servicio en línea?
Preparación de la entidad	2. La Entidad informa al usuario sobre sus derechos, obligaciones y las condiciones de uso del trámite o servicio en línea.	Los términos y condiciones de uso del trámite o servicio en linea deben estar publicados para consulta del usuario.	Link habilitado a los términos y condiciones de uso del trámite o servicio en línea, en el cual se incluyan los derechos y las obligaciones del usuario e indicar el costo en caso que aplique.	Ley 1712 de 2014, y Resolución 3564 de 2015 numeral 9.1 anexo 1 Ley 1437 de 2011		1	Experto	Gobernanza Digital	
Preparación de la entidad	3. La Entidad garantiza la protección de los datos personales de los usuarios del trámite o servicio en línea.	La entidad debe contar con una politica de tratamiento de informacion y solicitar autorización para el tratamiento de datos personales al usuario del trámite o servicio en línea.	Link habilitado a la política de tratamiento de la información, en la cual se incluya la solicitud de autorización del usuario para el trato de sus datos personales. 	Ley 1581 de 2012 Decreto 1377 de 2013, art 13 Decreto 886 de 2014	En caso de que no sea posible poner a disposición del titular las políticas de tratamiento de la información, los responsables deberán informar al titular por medio de un aviso de privacidad, la existencia de tales políticas y la forma conocerlas de manera oportuna y en todo caso, a más tardar al momento de la recolección de los datos personales.  Para la difusión del aviso de privacidad y de la política de tratamiento de la información, el responsable podrá valerse de documentos, formatos electrónicos, medios verbales o cualquier otra tecnología, siempre y cuando garantice y cumpla con el deber de informar al titular.	1	Experto	Gobernanza Digital	
Preparación de la entidad	4. La entidad caracteriza a los usuarios del trámite o servicio en línea 	La entidad debe identificar e implementar una estrategia de mejoramiento en la prestación del trámite o servicio en línea basado en la caracterización de usuarios.  	Documento de caracterización de ciudadanos, usuarios o grupos de interés en donde se identifiquen las características, necesidades, intereses, expectativas y preferencias de la población objetivo a la cual está dirigido el trámite o servicio en línea.  Adicionalmente, la entidad debe demostrar que a partir del ejercicio de caracterización se planteó una estrategia para mejorar la prestación del trámite o servicio en línea. Por ejemplo: documento que especifique el diseño o adecuación del trámite o servicio en línea, estrategia de mejora de los canales de atención, estrategia de comunicaciones e información para la ciudadanía, entre otros.	Guía para la caracterización de usuarios, ciudadanos y grupos de interés - Departamento Nacional de Planeación PNSC. https://colaboracion.dnp.gov.co/CDT/Programa%20Nacional%20del%20Servicio%20al%20Ciudadano/Guia%20de%20Caracterizaci%c3%b3n%20de%20Ciudadanos.pdf  Lineamientos y metodologías en Usabilidad para Gobierno en línea, pág 116-  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf		1	Experto	Estrategia Digital	
Preparación de la entidad	1. El trámite o servicio en línea cumple con los estándares de accesibilidad web en nivel de conformidad A. 	No deben presentarse errores al realizar la validación automática de los criterios de accesibilidad web en nivel A aplicables al trámite o servicio en línea. 	El evaluador deberá garantizar a través de un análisis de accesibilidad web, que el trámite o servicio en línea no presenta problemas o errores de validación automática en los criterios de accesibilidad aplicables en nivel A en todas las secciones del trámite o servicio en línea.   Cabe resaltar, que la entidad deberá garantizar el cumplimiento en el nivel A de los criterios de accesibilidad web aplicables al trámite o servicio en línea, para lo cual no será necesario adjuntar ninguna evidencia por ser el evaluador quien realice el debido diagnósitico.	NTC5854 (Norma Técnica Colombiana de accesibilidad web) Estándares de la W3C (World Wide Web Consortium) WCAG 2.0	Se recomienda utilizar los siguientes validadores automáticos: http://www.tawdis.net/, http://examinator.ws/, https://achecker.ca/checker/index.php o cualquier otro que valide según la guía WCAG 2.0 de la W3C analizando todo el procedimiento del trámite o servicio en línea.  NOTA. SOLO APLICAN LOS CRITERIOS DE ACCESIBILIDAD ACORDES AL DESARROLLO DEL TRAMITE O SERVICIO.  El servicio que se presta por app, se evalúa activando en la configuración del móvil la opción de accesibilidad y navegando por las múltiples opciones del servicio. Además, la entidad debe garantizar el cumplimiento permanente de los requisitos ante cualquier cambio o actualización de contenidos.	2	Experto	Talento Digital 	
Preparación de la entidad	2. El código en el que está hecho el trámite o servicio en línea cumple los estándares internacionales de programación web.	El código fuente del trámite o servicio en línea no presenta errores de programación	El evaluador deberá garantizar a través de un análisis de validación de código, que el trámite o servicio en línea no presenta problemas o errores aplicables en todas las secciones del trámite o servicio en línea.   Cabe resaltar, que la entidad deberá garantizar el cumplimiento de los criterios de validación del código aplicable al trámite o servicio en línea, para lo cual no será necesario adjuntar ninguna evidencia por ser el evaluador quien realice el debido diagnósitico.	Estándares de la W3C (World Wide Web Consortium)	Se recomienda utilizar el siguiente validador automático: https://validator.w3.org/ o cualquier otro que valide según la guía WCAG 2.0 de la W3C analizando todo el procedimiento del trámite o servicio en linea.  Para el caso de aplicaciones móviles, tenga en cuenta que si el app se publica en alguna tienda de aplicaciones, se da por cumplidos los estándares de calidad del código	2	Experto	Talento Digital 	
Preparación de la entidad	3. El formulario del trámite o servicio en línea usa el estandar del lenguaje común de intercambio de información. 	Los campos del formulario del trámite o servicio en linea están incluidos en el diccionario del lenguaje común del Estado Colombiano.	Documento que demuestre que los campos del formulario del trámite o servicio en línea se encuentran certificados con el diccionario del lenguaje común del Estado Colombiano.	Guia de uso del lenguaje común de intercambio de información  http://estrategia.gobiernoenlinea.gov.co/623/articles-8240_Guia_Lenguaje.pdf	Para solicitar la inclusión de nuevos campos en el diccionario del lenguaje común deberá seguir el procedimiento establecido en el siguiente enlace web: http://estrategia.gobiernoenlinea.gov.co/623/articles-8240_Guia_Lenguaje.pdf	2	Experto	Talento Digital 	
Preparación de la entidad	El trámite o servicio en línea de la entidad dispone de interfaces de programación de aplicaciones - APIS.	API disponible para facilitar la integración del trámite o servicio con el de otras entidades o para permitir el acceso al trámite o servicio en linea a través de otras fuentes de información.	Tutorial, manual o instrucciones de acceso al API del trámite o servicio en línea. 	Manual de Gobierno en línea, componente TIC para servicios, trámites y servicios en línea  http://estrategia.gobiernoenlinea.gov.co/623/w3-propertyvalue-8011.html  Marco de referencia arquitectura empresarial	API: interfaz de programación de aplicaciones. A continuación se presenta un ejemplo http://developers.payulatam.com/es/api/queries.html	3	Experto	Talento Digital 	
Solicitud del trámite o servicio en línea	5. El trámite o servicio en línea cuenta con un mecanismo de consulta o registro para la identificación del usuario.	El registro o mecanismo de identificación permite establecer la identidad de la persona que solicita el trámite o servicio en línea.	Análisis de evaluación de riesgo en donde se determine el nivel de garantía aplicable al trámite o servicio en línea. Por ejemplo, en nivel básico se podrá identificar que el trámite o servicio en linea requerirá de autenticación por usuario y contraseña; en nivel avanzado de firma electrónica.	Ley 962 de 2005 art. 6. Medios tecnológicos, parágrafo 2  Ley 1437 de 2011	  	1	Experto	Estrategia Digital	¿Pudo realizar de manera fácil y rápida el trámite o servicio en línea?     
Solicitud del trámite o servicio en línea	6. El usuario podrá elegir el medio de respuesta para recibir notificaciones. 	El trámite o servicio en línea debe permitir que el usuario escoja el medio por el cual será notificado.	Link habilitado a la sección del registro de usuario, en donde el evaluador pueda verificar que el trámite o servicio en línea cuenta con la opción para elegir el medio por el cual será notificado.	Leyes 1266 de 2008, 1273 de 2009, 1437 de 2011 Artículo  54, 1581 de 2012, 1755 de 2015, Decreto 1377 de 2013 y resolución 3564 de 2015 		1	Usuario	Conocimiento y uso	¿La atención recibida fue correcta y oportuna?
